workerid,workerid,seclang,gender,age,race,region,regionComments,speaker,sentence,content,intonation,verification,followupchoice,certainty,comment1
A7T06JMP6BTDS,None,,gen=2,age=1,eth=3,California,None,bec,S1UM,call,HLL,call your mom,response=2,84,
A7T06JMP6BTDS,None,,gen=2,age=1,eth=3,California,None,sara,filler,conference,before,I managed to solicit money from many people before the company started,response=2,71,
A7T06JMP6BTDS,None,,gen=2,age=1,eth=3,California,None,zio,S1UM,apple,LHL,use an applecore,response=2,65,
A7T06JMP6BTDS,None,,gen=2,age=1,eth=3,California,None,kev,S1UM,dog,HLL,take the dog for a walk,response=1,82,
A7T06JMP6BTDS,None,,gen=2,age=1,eth=3,California,None,zio,S1UM,right,LHL,go right,response=1,84,
A7T06JMP6BTDS,None,,gen=2,age=1,eth=3,California,None,kev,S1UM,home,LHL,stay home,response=1,79,
A7T06JMP6BTDS,None,,gen=2,age=1,eth=3,California,None,chr,S1UM,calm,HLL,be calm,response=1,83,
A7T06JMP6BTDS,None,,gen=2,age=1,eth=3,California,None,kev,filler,operation,until,only three people knew the truth before the operation was underway,response=2,70,
A1KH1O9AZ7S642,Thanks!,,gen=2,age=1,eth=3,Maryland,Thanks!,kev,S1UM,call,HLL,call your mom,response=1,100,
A1KH1O9AZ7S642,Thanks!,,gen=2,age=1,eth=3,Maryland,Thanks!,zio,S1UM,calm,HLL,be calm,response=1,100,
A1KH1O9AZ7S642,Thanks!,,gen=2,age=1,eth=3,Maryland,Thanks!,bec,S1UM,dog,HLL,take the dog for a walk,response=1,100,
A1KH1O9AZ7S642,Thanks!,,gen=2,age=1,eth=3,Maryland,Thanks!,chr,S1UM,right,LHL,go right,response=1,100,
A1KH1O9AZ7S642,Thanks!,,gen=2,age=1,eth=3,Maryland,Thanks!,sara,filler,operation,before,only three people knew the truth before the operation was underway,response=1,100,
A1KH1O9AZ7S642,Thanks!,,gen=2,age=1,eth=3,Maryland,Thanks!,chr,filler,conference,until,I managed to solicit money from many people until the conference started.,response=1,100,
A1KH1O9AZ7S642,Thanks!,,gen=2,age=1,eth=3,Maryland,Thanks!,chr,S1UM,apple,LHL,use an apple core,response=1,19,
A1KH1O9AZ7S642,Thanks!,,gen=2,age=1,eth=3,Maryland,Thanks!,bec,S1UM,home,LHL,stay home,response=2,63,
A1TEVZP5DA1XYZ,none,,gen=2,age=1,eth=3,Teaxs,none,chr,S1UM,coffee,HLL,put u see as,response=1,75,none
A1TEVZP5DA1XYZ,none,,gen=2,age=1,eth=3,Teaxs,none,chr,S1UM,email,LHL,send a n ew,response=1,79,none
A1TEVZP5DA1XYZ,none,,gen=2,age=1,eth=3,Teaxs,none,bec,S1UM,window,HLL,open the weapon,response=1,86,none
A1TEVZP5DA1XYZ,none,,gen=2,age=1,eth=3,Teaxs,none,chr,S1UM,cookie,HLL,have a coffee,response=1,83,none
A1TEVZP5DA1XYZ,none,,gen=2,age=1,eth=3,Teaxs,none,bec,S1UM,menu,LHL,lead the venue,response=1,92,none
A1TEVZP5DA1XYZ,none,,gen=2,age=1,eth=3,Teaxs,none,sara,filler,border,until,give a man mash things,response=1,79,none
A1TEVZP5DA1XYZ,none,,gen=2,age=1,eth=3,Teaxs,none,chr,filler,register,before,nice to meet you,response=2,81,none
A1TEVZP5DA1XYZ,none,,gen=2,age=1,eth=3,Teaxs,none,bec,S1UM,left,LHL,too left,response=2,89,none
A2CS1NW5EG9VZ0,,,gen=2,age=4,eth=3,South Eastern,,bec,S1UM,call,HLL,call your mom,response=2,88,
A2CS1NW5EG9VZ0,,,gen=2,age=4,eth=3,South Eastern,,sara,filler,conference,before,I managed to solicite money from many people before the company started,response=1,40,
A2CS1NW5EG9VZ0,,,gen=2,age=4,eth=3,South Eastern,,kev,S1UM,dog,HLL,take the dog for a walk,response=1,88,
A2CS1NW5EG9VZ0,,,gen=2,age=4,eth=3,South Eastern,,kev,S1UM,home,LHL,stay home,response=1,52,
A2CS1NW5EG9VZ0,,,gen=2,age=4,eth=3,South Eastern,,chr,S1UM,calm,HLL,be calm,response=1,56,
A2CS1NW5EG9VZ0,,,gen=2,age=4,eth=3,South Eastern,,zio,S1UM,apple,LHL,use an apple core,response=2,18,
A2CS1NW5EG9VZ0,,,gen=2,age=4,eth=3,South Eastern,,zio,S1UM,right,LHL,go right,response=1,58,
A2CS1NW5EG9VZ0,,,gen=2,age=4,eth=3,South Eastern,,kev,filler,operation,until,only three people knew the truth until the operation was under way,response=1,61,
A2FBT0BSFOV91D,Thanks for the study!,,gen=2,age=3,eth=3,Texas and Nevada,Thanks for the study!,zio,S1UM,coffee,HLL,Put some creamer in your coffee.,response=1,100,
A2FBT0BSFOV91D,Thanks for the study!,,gen=2,age=3,eth=3,Texas and Nevada,Thanks for the study!,kev,filler,border,before,Few people managed to leave before the country closed its boarder ,response=2,100,
A2FBT0BSFOV91D,Thanks for the study!,,gen=2,age=3,eth=3,Texas and Nevada,Thanks for the study!,kev,S1UM,menu,LHL,Read the menu,response=1,100,
A2FBT0BSFOV91D,Thanks for the study!,,gen=2,age=3,eth=3,Texas and Nevada,Thanks for the study!,sara,filler,register,until,Many students registered for the class before the requirements were posted,response=1,100,
A2FBT0BSFOV91D,Thanks for the study!,,gen=2,age=3,eth=3,Texas and Nevada,Thanks for the study!,zio,S1UM,email,LHL,Send her an email,response=1,52,
A2FBT0BSFOV91D,Thanks for the study!,,gen=2,age=3,eth=3,Texas and Nevada,Thanks for the study!,zio,S1UM,cookie,HLL,Have a cookie,response=1,49,
A2FBT0BSFOV91D,Thanks for the study!,,gen=2,age=3,eth=3,Texas and Nevada,Thanks for the study!,kev,S1UM,left,LHL,Turn left,response=1,63,
A2FBT0BSFOV91D,Thanks for the study!,,gen=2,age=3,eth=3,Texas and Nevada,Thanks for the study!,kev,S1UM,window,HLL,Open the window,response=1,75,
A2S7US3LRV8T6B,,,gen=1,age=2,eth=3,Florida,,bec,S1UM,call,HLL,Call your mom,response=2,100,
A2S7US3LRV8T6B,,,gen=1,age=2,eth=3,Florida,,zio,S1UM,apple,LHL,Use an apple corer,response=1,100,
A2S7US3LRV8T6B,,,gen=1,age=2,eth=3,Florida,,kev,S1UM,home,LHL,Stay home,response=1,100,
A2S7US3LRV8T6B,,,gen=1,age=2,eth=3,Florida,,kev,S1UM,dog,HLL,Take the dog for a walk,response=1,100,
A2S7US3LRV8T6B,,,gen=1,age=2,eth=3,Florida,,chr,S1UM,calm,HLL,Be calm,response=1,100,
A2S7US3LRV8T6B,,,gen=1,age=2,eth=3,Florida,,sara,filler,conference,before,I managed to solicit money from many people before the conference started,response=2,85,
A2S7US3LRV8T6B,,,gen=1,age=2,eth=3,Florida,,zio,S1UM,right,LHL,go right,response=1,100,
A2S7US3LRV8T6B,,,gen=1,age=2,eth=3,Florida,,kev,filler,operation,until,Only three people knew the truth until the operation was under way,response=1,67,
A3UTFL5JHRQCM1,Interesting study. ,,gen=2,age=2,eth=3,CA,Interesting study. ,chr,S1UM,right,HLL,Go right,response=1,87,
A3UTFL5JHRQCM1,Interesting study. ,,gen=2,age=2,eth=3,CA,Interesting study. ,chr,S1UM,calm,LHL,Be calm,response=1,90,
A3UTFL5JHRQCM1,Interesting study. ,,gen=2,age=2,eth=3,CA,Interesting study. ,bec,S1UM,home,HLL,Stay home,response=1,58,
A3UTFL5JHRQCM1,Interesting study. ,,gen=2,age=2,eth=3,CA,Interesting study. ,chr,filler,register,before,Many students registered for the class before the class requirements were posted,response=2,56,
A3UTFL5JHRQCM1,Interesting study. ,,gen=2,age=2,eth=3,CA,Interesting study. ,chr,S1UM,apple,HLL,Use and apple corer ,response=1,82,
A3UTFL5JHRQCM1,Interesting study. ,,gen=2,age=2,eth=3,CA,Interesting study. ,bec,S1UM,call,LHL,Call your mom,response=2,74,
A3UTFL5JHRQCM1,Interesting study. ,,gen=2,age=2,eth=3,CA,Interesting study. ,bec,S1UM,dog,LHL,Take the dog for a walk,response=2,72,
