workerid,gender,age,race,region,regionComments,speaker,sentence,content,intonation,etype,verification,followupchoice,certainty,comment1
A1LKKK4H3XF42C,gen=2,age=1,eth=3,Midwest,"	",kev,S1UM,call,LHL,EI,Call your mom.,response=1,98,
A1LKKK4H3XF42C,gen=2,age=1,eth=3,Midwest,"	",bec,S1UM,potato,HLL,ED,Use a potato peeler,response=1,96,
A1LKKK4H3XF42C,gen=2,age=1,eth=3,Midwest,"	",zio,filler,bring,npipnq,str,Didn't Manny bring anything at all?,response=2,93,
A1LKKK4H3XF42C,gen=2,age=1,eth=3,Midwest,"	",kev,S1UM,dog,LHL,ED,Take the dog for a walk.,response=2,97,
A1LKKK4H3XF42C,gen=2,age=1,eth=3,Midwest,"	",zio,S1UM,right,HLL,EI,Go right.,response=1,98,
A1LKKK4H3XF42C,gen=2,age=1,eth=3,Midwest,"	",kev,S1UM,home,HLL,EI,Stay home.,response=1,96,
A1LKKK4H3XF42C,gen=2,age=1,eth=3,Midwest,"	",zio,S1UM,email,LHL,ED,Send her an email.,response=2,97,
A1LKKK4H3XF42C,gen=2,age=1,eth=3,Midwest,"	",kev,filler,help,npiq,wk,Did Maria lift a finger to help?,response=2,97,
A1FQK51ECARQNK,gen=1,age=2,eth=2,California,"no	",bec,S1UM,lemonade,HLL,EI,have a lemonade,response=1,90,
A1FQK51ECARQNK,gen=1,age=2,eth=2,California,"no	",zio,filler,bring,pnq,str,Didn't Manny bring something?,response=2,90,
A1FQK51ECARQNK,gen=1,age=2,eth=2,California,"no	",zio,S1UM,coffee,HLL,ED,Put some creamer in your coffee. ,response=1,95,
A1FQK51ECARQNK,gen=1,age=2,eth=2,California,"no	",kev,S1UM,menu,LHL,EI,Read the menu. ,response=1,95,
A1FQK51ECARQNK,gen=1,age=2,eth=2,California,"no	",kev,filler,help,npipnq,wk,Didn't Maria lift a finger to help?,response=1,50,
A1FQK51ECARQNK,gen=1,age=2,eth=2,California,"no	",bec,S1UM,window,HLL,EI,Open the window.,response=1,80,
A1FQK51ECARQNK,gen=1,age=2,eth=2,California,"no	",chr,S1UM,calm,LHL,ED,Be calm. ,response=1,95,
A1FQK51ECARQNK,gen=1,age=2,eth=2,California,"no	",kev,S1UM,left,LHL,ED,Turn left. ,response=1,90,
A1JX05C35GWMGP,gen=1,age=2,eth=3,Northeast,"	",kev,filler,help,npipnq,wk,Didn't Maria Lucy a finger to help?,response=2,60,
A1JX05C35GWMGP,gen=1,age=2,eth=3,Northeast,"	",zio,S1UM,coffee,HLL,ED,Put some cream in your coffee,response=1,64,
A1JX05C35GWMGP,gen=1,age=2,eth=3,Northeast,"	",chr,S1UM,calm,LHL,ED,Be calm,response=2,79,
A1JX05C35GWMGP,gen=1,age=2,eth=3,Northeast,"	",zio,filler,bring,pnq,str,Didn't Manny bring something?,response=2,61,
A1JX05C35GWMGP,gen=1,age=2,eth=3,Northeast,"	",kev,S1UM,menu,LHL,EI,Read the menu,response=2,60,
A1JX05C35GWMGP,gen=1,age=2,eth=3,Northeast,"	",bec,S1UM,lemonade,HLL,EI,Have a lemonade,response=1,75,
A1JX05C35GWMGP,gen=1,age=2,eth=3,Northeast,"	",kev,S1UM,left,LHL,ED,Turn left,response=1,79,
A1JX05C35GWMGP,gen=1,age=2,eth=3,Northeast,"	",bec,S1UM,window,HLL,EI,Open the window,response=1,67,
A1WISFBL3J5Z12,gen=1,age=2,eth=1,Washington DC,"no	",kev,S1UM,left,HLL,EI,turn left,response=1,97,no
A1WISFBL3J5Z12,gen=1,age=2,eth=1,Washington DC,"no	",zio,S1UM,coffee,LHL,EI,put some creamer in your coffee,response=1,100,no
A1WISFBL3J5Z12,gen=1,age=2,eth=1,Washington DC,"no	",bec,S1UM,window,LHL,ED,open the window,response=1,100,no
A1WISFBL3J5Z12,gen=1,age=2,eth=1,Washington DC,"no	",bec,S1UM,lemonade,LHL,ED,have a lemonade,response=2,100,no
A1WISFBL3J5Z12,gen=1,age=2,eth=1,Washington DC,"no	",zio,filler,bring,npiq,wk,Dd Manny bring anything at all?,response=1,100,
A1WISFBL3J5Z12,gen=1,age=2,eth=1,Washington DC,"no	",kev,filler,help,npipnq,str,Didn't Maria lift a finger to help?,response=2,100,
A1WISFBL3J5Z12,gen=1,age=2,eth=1,Washington DC,"no	",chr,S1UM,calm,HLL,ED,Be calm.,response=1,100,
A1WISFBL3J5Z12,gen=1,age=2,eth=1,Washington DC,"no	",kev,S1UM,menu,HLL,EI,Read the menu.,response=1,100,
A3908297ZI3LES,gen=1,age=4,eth=3,ga,"	",kev,S1UM,home,LHL,EI,stay home,response=1,65,
A3908297ZI3LES,gen=1,age=4,eth=3,ga,"	",bec,S1UM,potato,LHL,ED,potato peeler ,response=1,63,
A3908297ZI3LES,gen=1,age=4,eth=3,ga,"	",kev,S1UM,dog,HLL,ED,take the dog for a walk ,response=1,67,
A3908297ZI3LES,gen=1,age=4,eth=3,ga,"	",zio,S1UM,email,HLL,EI,sen her an email,response=1,73,
A3908297ZI3LES,gen=1,age=4,eth=3,ga,"	",zio,filler,bring,npipnq,wk,didn't manny bring anything at all,response=1,71,
A3908297ZI3LES,gen=1,age=4,eth=3,ga,"	",zio,S1UM,right,LHL,EI,go right,response=1,19,
A3908297ZI3LES,gen=1,age=4,eth=3,ga,"	",kev,S1UM,call,HLL,ED,call your mom ,response=1,77,
A3908297ZI3LES,gen=1,age=4,eth=3,ga,"	",kev,filler,help,npiq,str,did maria lift a finger to help?,response=2,70,thanx
A25KKISLF6V7LO,gen=2,age=1,eth=3,New Jersey,"no	",bec,S1UM,window,LHL,EI,Open de window,response=1,54,
A25KKISLF6V7LO,gen=2,age=1,eth=3,New Jersey,"no	",kev,S1UM,left,HLL,ED,Turn left,response=1,100,
A25KKISLF6V7LO,gen=2,age=1,eth=3,New Jersey,"no	",kev,filler,help,npipnq,str,Didn't Maria left the finger to help?,response=1,39,
A25KKISLF6V7LO,gen=2,age=1,eth=3,New Jersey,"no	",zio,S1UM,coffee,LHL,ED,Put some cream on your coffee,response=1,100,
A25KKISLF6V7LO,gen=2,age=1,eth=3,New Jersey,"no	",bec,S1UM,lemonade,LHL,EI,Have a lemonade,response=1,41,
A25KKISLF6V7LO,gen=2,age=1,eth=3,New Jersey,"no	",kev,S1UM,menu,HLL,ED,Read the menu,response=1,89,
A25KKISLF6V7LO,gen=2,age=1,eth=3,New Jersey,"no	",chr,S1UM,calm,HLL,EI,Be calm,response=1,88,
A25KKISLF6V7LO,gen=2,age=1,eth=3,New Jersey,"no	",zio,filler,bring,pnq,wk,Didn't Many bring something?,response=2,63,
A2UUKFTD0VUX2S,gen=2,age=2,eth=1,Ohio,"no	",bec,S1UM,lemonade,LHL,EI,Have a lemonade...,response=1,80,
A2UUKFTD0VUX2S,gen=2,age=2,eth=1,Ohio,"no	",kev,S1UM,menu,HLL,ED,Read the menu,response=1,100,
A2UUKFTD0VUX2S,gen=2,age=2,eth=1,Ohio,"no	",bec,S1UM,window,LHL,EI,Open the window..,response=2,65,
A2UUKFTD0VUX2S,gen=2,age=2,eth=1,Ohio,"no	",kev,filler,help,npipnq,str,Didn't Maria left a finger to help,response=1,81,
A2UUKFTD0VUX2S,gen=2,age=2,eth=1,Ohio,"no	",zio,S1UM,coffee,LHL,ED,put some creamer in your coffee,response=1,90,
A2UUKFTD0VUX2S,gen=2,age=2,eth=1,Ohio,"no	",kev,S1UM,left,HLL,ED,Turn left,response=1,100,
A2UUKFTD0VUX2S,gen=2,age=2,eth=1,Ohio,"no	",zio,filler,bring,pnq,wk,Didn't Meny bring something,response=1,87,
A2UUKFTD0VUX2S,gen=2,age=2,eth=1,Ohio,"no	",chr,S1UM,calm,HLL,EI,Be calm,response=1,100,
A22EDUBB602EJD,gen=2,age=4,eth=3,Illinois,"no	",kev,S1UM,left,LHL,ED,turn left,response=1,80,
